region	illiteracyMale	illiteracyFemale	educationMale	educationFemale	infantMortality

1	70.5	90.8	3.3	2	97
1	50.7	77.5	5.1	4	114
1	42.3	76.7	4	2.8	110
1	47.2	75.1	6.1	4	122
1	36.4	61.2	10.8	8.8	54
1	28.1	58.2	11	9.9	142
1	26.1	51	11.1	9.9	44
1	19.5	40.1	10.5	10.7	56
1	18.6	36.2	9	8.6	41
1	22	24.4	11.5	10.8	65
1	18.1	18.3	13	13.2	48
2	35.4	33.4	8.9	9.4	44
2	26.5	30.2	9.6	9.9	39
2	21.25	23.47	10.6	10.4	30
2	18	17.8	11.1	11.3	34
2	5.5	17	12.9	11.8	45
2	19.2	10.9	10.8	11.1	12
2	8.2	9.7	10.2	10.7	21
2	6.5	9.4	9.2	9.1	39
2	4.6	5	11.8	11.7	13
2	3.8	4.7	10.9	11.7	9
2	1.2	3	10.1	11.3	14
2	1.4	2.5	9.4	9.7	58
2	2.24	2.23	15.4	16.2	7
2	1.5	2	12.1	13.2	14
3	29.3	55	9.4	7.1	95
3	28.5	49.8	9	8.4	23
3	8.3	27.6	10.6	8.7	44
3	17.8	25.1	8.9	9.1	14
3	10.4	22	10.4	9.5	48
3	10.9	20.6	12.6	13.3	18
3	21.1	20.2	9.8	10.3	15
3	20.8	20.1	10.6	11.6	17
3	7.4	16.6	11.8	12.1	9
3	4	11.8	12.6	12.7	5
3	5	5.7	11	11	35
3	0.7	3.3	15.1	13.9	9
3	0.3	0.6	10.1	10.4	23
4	7.5	13	13.9	14.7	8
4	10.76	11.09	13.7	13.1	8
4	1.7	4.7	13.9	13.6	8
4	0.92	4.32	11.5	11.7	10
4	1.8	3.9	15.1	15.9	7
4	1.1	3.1	11.5	11.4	24
4	0.92	2.38	11.8	12.5	16
4	0.7	1	12.3	12.6	14
4	0.3	0.3	13	13.3	13
4	0.2	0.3	11.1	11.7	16
4	0.2	0.2	12.2	12.9	12
